11/04/2016 02:21:43 PM  BOT +5,500 NEM 100  4 NOV 16 37.5 CALL @.15    $82,500.00
11/04/2016 01:57:41 PM  SOLD -300 UVXY 100  11 NOV 16 18.5 PUT @2.25	-$67,500.00
11/04/2016 01:35:00 PM	BOT +666 VXX 100  11 NOV 16 36 CALL @3.40	$226,440.00
11/04/2016 01:27:59 PM	BOT +200 TSLA 100  11 NOV 16 190 PUT @4.60	$92,000.00
11/04/2016 01:07:58 PM	BOT +1,200 GPRO 100  11 NOV 16 11.5 PUT @.70	$84,000.00
11/04/2016 12:51:44 PM	BOT +300 UVXY 100  11 NOV 16 18.5 PUT @2.58	$77,400.00
11/04/2016 11:46:02 AM	SOLD -1,000 GDX 100  11 NOV 16 25 CALL @.79	-$79,000.00
11/04/2016 11:00:42 AM	SOLD -200 TSLA 100  11 NOV 16 190 PUT @4.15	-$83,000.00
11/04/2016 10:53:19 AM	BOT +200 TSLA 100  11 NOV 16 190 PUT @4.55	$91,000.00
11/04/2016 10:04:58 AM	SOLD -700 VXX 100  11 NOV 16 36 CALL @3.10	-$217,000.00
11/03/2016 02:47:06 PM	SOLD -300 UVXY 100  11 NOV 16 18.5 CALL @4.06	-$121,800.00
11/03/2016 02:46:15 PM	SOLD -700 YHOO 100  11 NOV 16 41 PUT @1.16	-$81,200.00
11/03/2016 02:42:00 PM	SOLD -700 NEM 100  11 NOV 16 37.5 CALL @1.17	-$81,900.00
11/03/2016 02:35:53 PM	SOLD -150 AET 100  4 NOV 16 105 PUT @.64	-$9,600.00
11/03/2016 01:14:28 PM	SOLD -100 MYL 100  4 NOV 16 36.5 PUT @1.74	-$17,400.00
11/03/2016 12:19:29 PM	BOT +300 SLV 100  4 NOV 16 17.5 CALL @.13	$3,900.00
11/03/2016 11:20:33 AM	BOT +150 AET 100  4 NOV 16 105 PUT @.56	$8,400.00
11/03/2016 10:43:01 AM	BOT +100 MYL 100  4 NOV 16 36.5 PUT @.34	$3,400.00
11/03/2016 08:36:15 AM	BOT +1,000 GDX 100  11 NOV 16 25 CALL @.78	$78,000.00
11/03/2016 08:35:04 AM	BOT +700 NEM 100  11 NOV 16 37.5 CALL @1.07	$74,900.00
11/02/2016 01:57:02 PM	SOLD -1,500 CHK 100  11 NOV 16 5.5 PUT @.43	-$64,500.00
11/02/2016 10:10:19 AM	SOLD -200 NVDA 100  11 NOV 16 69 CALL @3.80	-$76,000.00
11/02/2016 08:57:41 AM	SOLD -1,000 NEM 100  4 NOV 16 38 PUT @.39	-$39,000.00
11/01/2016 02:47:31 PM	BOT +1,000 NEM 100  4 NOV 16 38 PUT @.70	$70,000.00
11/01/2016 02:45:17 PM	BOT +200 NVDA 100  11 NOV 16 69 CALL @3.70	$74,000.00
11/01/2016 01:35:26 PM	SOLD -200 TSLA 100  4 NOV 16 197.5 PUT @8.80	-$176,000.00
11/01/2016 01:35:11 PM	SOLD -800 AAPL 100  4 NOV 16 113 PUT @2.66	-$212,800.00
11/01/2016 01:27:41 PM	BOT +600 GDX 100  11 NOV 16 25 PUT @.67	$40,200.00
11/01/2016 12:36:57 PM	SOLD -600 GDX 100  11 NOV 16 25 PUT @.75	-$45,000.00
11/01/2016 11:33:19 AM	BOT +700 YHOO 100  11 NOV 16 41 PUT @.88	$61,600.00
11/01/2016 11:16:37 AM	BOT +10 VXX 100  11 NOV 16 36 CALL @2.38	$2,380.00
11/01/2016 11:11:31 AM	BOT +300 UVXY 100  11 NOV 16 18.5 CALL @2.31	$69,300.00
11/01/2016 11:11:08 AM	BOT +300 VXX 100  11 NOV 16 36 CALL @2.36	$70,800.00
10/31/2016 02:58:23 PM	BOT +800 AAPL 100  4 NOV 16 113 PUT @.80	$64,000.00
10/31/2016 02:55:03 PM	BOT +200 TSLA 100  4 NOV 16 197.5 PUT @2.99	$59,800.00
10/31/2016 02:14:39 PM	SOLD -400 VXX 100  4 NOV 16 33 CALL @1.47	-$58,800.00
10/31/2016 02:14:25 PM	SOLD -500 UVXY 100  4 NOV 16 16 CALL @1.15	-$57,500.00
10/31/2016 02:03:41 PM	SOLD -1,000 GDX 100  4 NOV 16 24 CALL @.68	-$68,000.00
10/31/2016 02:02:07 PM	SOLD -500 NEM 100  11 NOV 16 35.5 CALL @1.86	-$93,000.00
10/31/2016 01:58:40 PM	SOLD -400 GLD 100  4 NOV 16 122 CALL @.74	-$29,600.00
10/31/2016 01:49:17 PM	BOT +1,500 CHK 100  11 NOV 16 5.5 PUT @.34	$51,000.00
10/28/2016 02:55:26 PM	BOT +500 UVXY 100  4 NOV 16 16 CALL @1.03	$51,500.00
10/28/2016 02:53:54 PM	BOT +400 VXX 100  4 NOV 16 33 CALL @1.32	$52,800.00
10/28/2016 01:20:19 PM	SOLD -600 UVXY 100  4 NOV 16 13.5 CALL @2.51	-$150,600.00
10/28/2016 01:18:59 PM	SOLD -550 VXX 100  4 NOV 16 31 CALL @2.52	-$138,600.00
10/28/2016 01:11:28 PM	BOT +400 GLD 100  4 NOV 16 122 CALL @1.27	$50,800.00
10/28/2016 01:03:53 PM	BOT +500 NEM 100  11 NOV 16 35.5 CALL @1.13	$56,500.00
10/28/2016 12:38:17 PM	SOLD -30 KO 100  28 OCT 16 41.5 CALL @.63	-$1,890.00
10/28/2016 12:31:34 PM	BOT +1,000 GDX 100  4 NOV 16 24 CALL @.48	$48,000.00
10/28/2016 12:30:44 PM	SOLD -1,000 GDX 100  4 NOV 16 23.5 PUT @.35	-$35,000.00
10/27/2016 02:57:40 PM	SOLD -250 NFX 100 18 NOV 16 42 PUT @1.80	-$45,000.00
10/27/2016 02:36:11 PM	BOT +1,000 GDX 100  4 NOV 16 23.5 PUT @.45	$45,000.00
10/25/2016 02:01:26 PM	BOT +540 VXX 100  4 NOV 16 31 CALL @.85	$45,900.00
10/25/2016 02:00:59 PM	BOT +600 UVXY 100  4 NOV 16 13.5 CALL @.82	$49,200.00
10/25/2016 01:58:31 PM	BOT +10 VXX 100  4 NOV 16 31 CALL @.85	$850.00
10/25/2016 01:56:15 PM	SOLD -600 VXX 100  28 OCT 16 32.5 PUT @1.98	-$118,800.00
10/24/2016 10:31:37 AM	SOLD -500 NEM 100  28 OCT 16 36.5 CALL @.57	-$28,500.00
10/24/2016 10:30:32 AM	SOLD -650 GDX 100  4 NOV 16 24.5 CALL @.50	-$32,500.00
10/21/2016 01:48:30 PM	SOLD -20,000 CHK 100 21 OCT 16 6.5 PUT @.02	-$40,000.00
10/21/2016 01:19:33 PM	BOT +20,000 CHK 100 21 OCT 16 6.5 PUT @.01	$20,000.00
10/21/2016 01:15:32 PM	BOT +1,600 CHK 100  28 OCT 16 7 CALL @.18	$28,800.00
10/21/2016 01:06:09 PM	SOLD -17,000 CHK 100 21 OCT 16 6.5 PUT @.02	-$34,000.00
10/21/2016 01:01:48 PM	BOT +500 NEM 100  28 OCT 16 36.5 CALL @.91	$45,500.00
10/21/2016 12:56:11 PM	BOT +17,000 CHK 100 21 OCT 16 6.5 PUT @.02	$34,000.00
10/21/2016 12:49:45 PM	BOT +650 GDX 100  4 NOV 16 24.5 CALL @.89	$57,850.00
10/19/2016 01:57:03 PM	BOT +600 VXX 100  28 OCT 16 32.5 PUT @.95	$57,000.00
10/19/2016 01:46:49 PM	SOLD -1,700 UVXY 100 21 OCT 16 15 PUT @.37	-$62,900.00
10/19/2016 01:44:29 PM	SOLD -1,500 VXX 100 21 OCT 16 32.5 PUT @.43	-$64,500.00
10/19/2016 12:42:15 PM	SOLD -1,200 GDX 100 21 OCT 16 23.5 CALL @1.30	-$156,000.00
10/19/2016 12:33:03 PM	BOT +20 KO 100  28 OCT 16 41.5 CALL @.88	$1,760.00
10/19/2016 12:32:10 PM	BOT +10 KO 100  28 OCT 16 41.5 CALL @.88	$880.00
10/19/2016 11:57:13 AM	BOT +1,700 UVXY 100 21 OCT 16 15 PUT @.35	$59,500.00
10/19/2016 11:55:41 AM	BOT +1,500 VXX 100 21 OCT 16 32.5 PUT @.40	$60,000.00
